*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=D12_V2
*Date=09:21:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;16.873;-41.4386;-90;Bottom;TXT3
2;;;23.368;-54.4531;0;Bottom;Via17
3;;;5.334;-55.977;0;Bottom;Hole4
4;;;35.3048;-49.0954;0;Top;U1
5;;;78.2319;-43.0231;0;Bottom;Via23
6;;;35.7813;-26.2465;0;Bottom;TXT1
7;;;81.3754;-36.741;90;Bottom;TXT3
8;220;THT;35.56;-21.433;0;Bottom;R6
9;;THT;48.514;-71.725;0;Bottom;J11
10;;;20.32;-41.4991;0;Bottom;Via30
11;220;THT;62.9957;-65.3798;180;Bottom;R7
12;;;24.13;-41.4991;0;Bottom;Via33
13;;;62.7818;-65.1728;0;Bottom;TXT1
14;220;THT;62.9957;-52.6798;180;Bottom;R12
15;;;59.4359;-39.2131;0;Bottom;Via5
16;;;29.7179;-45.8171;0;Bottom;Via9
17;;;29.7179;-41.7531;0;Bottom;Via11
18;;;68.8267;-11.1026;0;Bottom;TXT4
19;;THT;38.1;-67.153;90;Bottom;J2
20;;;75.9731;-38.7854;-90;Bottom;TXT4
21;;;35.7082;-23.7376;0;Bottom;TXT1
22;;[THT];76.4057;-54.9297;180;Bottom;S2
23;;;74.4219;-47.0871;0;Bottom;Via21
24;;;48.2493;-10.0296;0;Bottom;IMG1
25;;;74.1849;-39.0059;-90;Bottom;TXT4
26;220;THT;62.9957;-57.7598;180;Bottom;R10
27;;;23.3904;-56.735;0;Bottom;TXT4
28;;;35.7271;-21.2286;0;Bottom;TXT1
29;;;22.606;-61.8191;0;Bottom;Via40
30;220;THT;13.2715;-35.657;180;Bottom;R26
31;;;74.4219;-43.0231;0;Bottom;Via19
32;;THT;48.006;-43.785;180;Bottom;J9
33;;;20.32;-43.5311;0;Bottom;Via32
34;;;24.3725;-47.8408;90;Bottom;TXT4
35;;;16.9692;-44.7928;-90;Bottom;TXT3
36;;;68.8339;-45.3091;0;Bottom;Via1
37;;;48.514;-87.473;0;Bottom;Hole3
38;;;81.278;-42.5686;90;Bottom;TXT3
39;;;43.1952;-62.2779;180;Bottom;TXT3
40;;5 mm [THT];73.1555;-64.6888;180;Bottom;LED3
41;;;57.4039;-43.0231;0;Bottom;Via7
42;;;53.0859;-31.3391;0;Bottom;Via36
43;;;24.13;-43.5311;0;Bottom;Via28
44;;;35.573;-62.2816;180;Bottom;TXT3
45;220;THT;85.0265;-42.515;0;Bottom;R13
46;;;20.32;-39.4671;0;Bottom;Via29
47;;;32.9983;-62.2486;180;Bottom;TXT3
48;;;73.4059;-33.1171;0;Bottom;Via16
49;;;40.572;-62.3194;180;Bottom;TXT3
50;;;92.202;-55.977;0;Bottom;Hole7
51;;;62.742;-55.005;0;Bottom;TXT1
52;;;78.2319;-49.1191;0;Bottom;Via24
53;;;35.5599;-11.2732;0;Bottom;Hole1
54;220;THT;62.9957;-60.2998;180;Bottom;R9
55;;;24.13;-39.4671;0;Bottom;Via31
56;;;16.9704;-35.611;-90;Bottom;TXT3
57;;THT;12.7;-50.643;0;Bottom;J4
58;;;8.45902;-51.6139;0;Bottom;TXT2
59;220;THT;13.2715;-44.801;180;Bottom;R25
60;;THT;60.4557;-19.6598;-90;Bottom;J5
61;;;53.0859;-43.0231;0;Bottom;Via35
62;;;68.8339;-41.2451;0;Bottom;Via3
63;;;22.3582;-27.0986;0;Bottom;TXT4
64;;;60.3755;-24.4537;0;Bottom;TXT3
65;220;THT;35.56;-34.133;0;Bottom;R1
66;;THT;85.344;-50.643;180;Bottom;J8
67;;;63.2509;-37.7176;180;Top;U2
